Ticker,Close,MA20,MA60,ATR14,RSI14,MACD,Signal,Histogram,RSI_Position_Factor,StopLoss,RiskPerShare,PositionSize,PositionValue,PortfolioPct,20Day_Return,60Day_Return,Volume_Ratio,DistanceToHigh,Score,Confidence,RS_Score,NearHighScore,FinalScore
RKLB,135.75999450683594,104.86649932861329,82.80600007375081,12.40785707746233,74.84095917218382,14.770150109673239,BUY,2.375082220633251,0.8,110.94428035191127,24.81571415492466,32,4376,4.376581505066844,0.6497751002117114,0.9646888206181357,1.187248138234952,1.011021713888839,82.10623040834096,93,93.93939393939394,40,80.26224007371746
QCOM,237.2835998535156,194.17781143188478,152.71745885213215,19.838153771973566,70.95999392767025,18.17344832547164,BUY,0.7924642170332561,0.8,197.60729230956846,39.67630754394713,20,4784,4.784388760787588,0.5849860190423148,0.6836828812418436,0.9488315896319072,1.0026523129528115,76.86487694255433,85,90.9090909090909,40,75.98723204160622
AMD,467.510009765625,405.89600067138673,285.8608334859212,30.994293212890632,75.22324775762326,43.33497526415886,WATCH,-1.5050090334715946,0.5,405.52142333984375,61.988586425781264,8,3770,3.770936205533363,0.39709530808316806,1.335098117417144,0.8198693769991903,1.019006519449626,70.96240377208402,60,96.96969696969697,40,73.0676220343982
NBIS,214.7700042724609,183.06550064086915,141.95191752115886,20.6547121320452,62.106199045032064,18.17998356231766,WATCH,0.9576786511932198,0.8,173.4605800083705,41.3094242640904,19,4159,4.159244687593614,0.48158108668130706,1.3551924391104224,0.5836123916184573,0.9711508487447219,72.09161231025104,85,98.48484848484848,20,72.16109831414542
IONQ,63.63999938964844,50.68900012969971,40.146833356221514,5.705000741141183,68.25882566204729,4.499918262519202,WATCH,0.4444321700317495,0.8,52.22999790736607,11.410001482282366,70,4462,4.462050210140264,0.4516423167916377,0.658587468366197,1.5413474073356288,0.7752467076219597,66.34314655660015,65,89.39393939393939,0,64.31899046840797
INTC,119.83999633789062,109.05750007629395,71.28333333333333,10.16071592058454,66.19111478490345,12.060934725108751,WATCH,-1.281115854430917,0.8,99.51856449672155,20.32143184116908,39,4717,4.717777655612139,0.4100482333224924,1.6274938551676308,0.5379435404296331,0.9258343176572383,61.38204799690085,50,100.0,10,63.96743359783059
AAPL,308.82000732421875,289.217626953125,268.7615788777669,5.741689862416592,91.10259787648047,10.039413708897598,WATCH,0.9908480234940775,0.5,297.33662759938557,11.483379724833185,43,13446,13.446390118772497,0.15505608281820793,0.17005273173415314,0.902286553491897,1.0125578452161677,65.48887693732479,85,68.18181818181817,40,63.478577492490984
QUBT,12.3100004196167,10.018500089645386,8.505083306630452,1.32178544998169,62.71493600067595,0.6448811425980132,WATCH,0.07192162699633708,0.8,9.66642951965332,2.64357089996338,302,3725,3.725264314200833,0.35274724215215114,0.46373372686857794,2.460522269704427,0.5,63.15107968917698,65,86.36363636363636,0,61.47848305515116
SNDK,1478.68994140625,1338.082989501953,937.4496643066407,126.82743617466518,61.15924061389111,136.41590973901793,WATCH,-9.81447150471601,0.8,1225.0350690569196,253.65487234933036,3,4663,4.663627953086795,0.3816950185683303,1.3273262016776983,0.6366076946529661,0.9464585005542364,58.63460933752852,50,95.45454545454545,10,61.135135627179054
MU,751.0,668.7470016479492,498.9367162068685,59.73643275669643,66.21157016060744,71.08351337185377,IGNORE,-2.7795211794703363,0.8,631.5271344866071,119.47286551339286,6,5028,5.02875692667345,0.43167607803740826,0.8219450759339728,0.7078760895866937,0.9345096567287988,55.71891943515944,50,92.42424242424242,10,58.48809208946009
