Ticker,MarketDataDate,Close,MA20,MA60,ATR14,RSI14,MACD,MACD_Signal,Histogram,RSI_Position_Factor,StopLoss,RiskPerShare,PositionSize,PositionValue,PortfolioPct,20Day_Return,60Day_Return,Volume_Ratio,DistanceToHigh,Score,Confidence,RS_Score,NearHighScore,FinalScore,TradeSignal,Reason
OKTA,2026-07-02,140.3350067138672,120.77899971008301,95.7114164352417,7.652857644217358,84.95435488261005,8.693244083346727,7.502309621696412,1.1909344616503148,0.5,125.02929142543248,15.305715288434715,32,4584,4.584398836293098,0.14325871049993633,0.7257133207146225,0.8591238082468063,1.0158897302296008,69.44987733910855,85,92.3076923076923,40,71.07645259891444,WATCH,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI overbought
CAKE,2026-07-02,80.37000274658203,73.97400016784668,65.53483352661132,3.029284340994699,77.37224307464807,4.128561496152031,3.866396769137652,0.26216472701437876,0.5,74.31143406459263,6.058568681989398,82,6632,6.632754943052956,0.23589119260707792,0.39000351384948884,0.9867940039530532,1.0103079781692867,68.55312222449503,85,81.53846153846153,40,68.29487786483882,WATCH,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI overbought
PACS,2026-07-02,44.34999847412109,37.93800010681152,36.46091683705648,2.5253573826381133,85.07245711783652,1.6047148922097492,0.8356671514949308,0.7690477407148184,0.5,39.29928370884486,5.0507147652762265,98,4390,4.390467541250626,0.20092060946734902,0.30710280209917373,1.0824298053991221,1.0410798136780004,69.31938168142241,93,76.92307692307693,40,67.90818256161107,WATCH,Price above MA20 | Bullish MA alignment | Above-average volume | Near 52-week high | RSI overbought
V,2026-07-02,352.510009765625,329.5589996337891,323.39166666666665,8.931431361607142,86.34737514124468,5.593071898787855,3.283418180997649,2.309653717790206,0.5,334.6471470424107,17.862862723214285,27,9867,9.86711971165486,0.11275608528429304,0.1455171649842315,1.0799795333381015,0.982140857510583,66.56461022985687,93,61.53846153846154,30,61.90291946859211,WATCH,Price above MA20 | Bullish MA alignment | Above-average volume | Near 52-week high | RSI overbought
USB,2026-07-02,62.20000076293945,58.52100028991699,56.367500178019206,1.5585719517299108,74.65181591270616,1.5816438811736475,1.3319769196512476,0.24966696152239987,0.8,59.082856859479634,3.1171439034598216,256,15963,15.96333122610133,0.15656381879435677,0.1264034659169726,0.595178550657206,1.01236982671253,65.18789282327853,85,58.46153846153847,40,61.32383266860266,WATCH,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
AMD,2026-07-02,538.1599731445312,518.9200012207032,424.6113324483236,41.13000488281249,64.13274584653769,24.068254556671604,26.78852090481537,-2.7202663481437668,0.8,455.89996337890625,82.26000976562499,9,5233,5.23374577443261,0.04547833539491264,1.31845590412337,0.8772035091880775,0.9652573760434534,56.684290150336246,60,95.38461538461539,20,60.75592618215845,WATCH,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
JPM,2026-07-02,338.0199890136719,324.44950103759766,312.45500132242836,9.602857317243307,73.7562315156116,6.9742312961492985,6.688868749973408,0.2853625461758904,0.8,318.81427437918524,19.205714634486615,41,14079,14.079975484242945,0.10557990387371818,0.09757439904490495,0.8154667206828524,1.0031754763848568,64.07945631062685,85,53.84615384615385,40,59.62485018666956,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
PGY,2026-07-02,18.71999931335449,15.659999990463257,14.473416630427042,1.2992859567914696,80.76923494926369,0.8512077864716048,0.5427899791948545,0.3084178072767503,0.5,16.121427399771548,2.5985719135829393,192,3601,3.601978304988133,0.3040752288619124,0.416036228081091,1.161673702725486,0.42439354011165786,59.94158821569165,73,87.6923076923077,0,59.4975732894457,IGNORE,Price above MA20 | Bullish MA alignment | Above-average volume | Below 52-week high | RSI overbought
INTC,2026-07-02,128.9199981689453,123.86749992370605,105.08699982961019,12.642143794468469,58.84244364538879,6.223601474295549,6.6966375382813155,-0.4730360639857665,1.0,103.63571058000838,25.284287588936937,39,5098,5.098818691864345,0.18929885935626634,1.3283366562376226,0.9450594883850952,0.9226365283824077,55.27525496051683,50,96.92307692307692,10,59.077293856977164,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI not overbought
LEVI,2026-07-02,24.790000915527344,23.697249984741212,22.81958335240682,0.856071472167968,69.41176523386754,0.514035248937077,0.44863687365859867,0.0653983752784783,0.8,23.077857971191406,1.712142944335936,467,11583,11.58314543655923,0.0849015536835993,0.09448129505690162,0.9496936821826943,1.0060877244153634,63.69438690238975,85,52.307692307692314,40,59.04760929321128,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
SNDK,2026-07-02,2043.800048828125,1966.1610046386718,1485.2121724446615,249.80534144810267,61.69048994834555,153.13597949856785,174.1183965002038,-20.98241700163595,0.8,1544.1893659319196,499.61068289620533,1,3272,3.272628258435742,0.17371403142221564,1.6068878173828125,1.4349435394159893,0.8911990289370706,55.091654180259866,53,100.0,0,58.564157926181906,IGNORE,Price above MA20 | Bullish MA alignment | Above-average volume | Below 52-week high | Healthy RSI
CAT,2026-07-02,1001.280029296875,964.1404998779296,891.3109995524088,48.187848772321466,70.22979674111315,36.576751727478836,33.14279522086219,3.4339565066166458,0.8,904.9043317522321,96.37569754464293,8,8311,8.311473160196341,0.09550437093968189,0.3095132689322575,0.9017981125567162,0.9581627074611244,57.49267600843636,85,78.46153846153847,20,57.93718089821314,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
XYZ,2026-07-02,78.44999694824219,72.78899955749512,71.14058322906494,3.8260716029575894,72.29829185684859,1.8008034898392822,1.2490503140028215,0.5517531758364607,0.8,70.797853742327,7.652143205915179,104,8201,8.201623502037926,0.1078943603030984,0.23271523728208443,0.8850567845095282,0.955251104392599,57.133515584919856,85,72.3076923076923,20,56.45499937098236,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
DE,2026-07-02,638.0399780273438,595.4459991455078,580.8645029703777,20.549996512276785,82.55972669584757,15.742041018001828,10.485978302141007,5.256062715860821,0.5,596.9399850027902,41.09999302455357,12,7762,7.76204484567883,0.0738701536814117,0.07733349410404333,0.9359511109335908,0.9605419315428585,63.37272889520503,85,43.07692307692308,20,54.97629484202814,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI overbought
RH,2026-07-02,169.02999877929688,152.3875,139.61049982706706,11.430000305175781,64.67790086253152,5.936218358901016,4.418288040542835,1.5179303183581805,0.8,146.1699981689453,22.860000610351562,34,5915,5.915310385521373,0.09192503518737793,0.39983435842067805,0.9247677565649915,0.6699298498468861,54.1074458039342,65,83.07692307692308,0,54.49059667813856,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Below 52-week high | Healthy RSI
SNOW,2026-07-02,256.57501220703125,238.8845016479492,188.03816719055175,15.011854989188052,63.08903331657387,12.791179980812302,13.152176021278082,-0.36099604046578015,0.8,226.55130222865515,30.023709978376104,26,6836,6.836597139842442,0.05024563652040892,0.6516996153967807,1.1038015633961005,0.9238289059789859,49.76704575458301,58,89.23076923076924,10,53.68308587436195,IGNORE,Price above MA20 | Bullish MA alignment | Above-average volume | Near 52-week high | Healthy RSI
TEM,2026-07-02,61.09999847412109,51.35650005340576,50.44566650390625,4.361571175711496,77.53721265880809,2.347670813943992,1.1677279247194337,1.1799428892245585,0.5,52.37685612269809,8.723142351422991,57,3502,3.5021782296235227,0.30277178009059935,0.21785929248730418,0.8023028364615773,0.5980228987876453,56.43245084524027,65,69.23076923076923,0,53.34886943782203,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Below 52-week high | RSI overbought
RDDT,2026-07-02,194.00999450683597,172.1444984436035,162.32833251953124,14.870360238211491,64.2111130568943,3.541599094014771,2.429298919740613,1.1123001742741576,0.8,164.269274030413,29.740720476422982,26,5218,5.218703283550587,0.13855634657296023,0.2798337568027387,0.9714899242330199,0.7132982884394263,54.02348924104734,65,73.84615384615385,0,52.58567323796391,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Below 52-week high | Healthy RSI
TSM,2026-07-02,450.5400085449219,437.43099822998045,411.27183227539064,26.731425694056902,58.495125072444836,10.250530610409498,9.689387378166309,0.5611432322431895,1.0,397.0771571568081,53.462851388113805,18,8427,8.427160109254645,0.046234594515836225,0.2167220236790819,1.2131815893504114,0.9463337016330933,53.93452058162025,83,67.6923076923077,10,52.29262594559571,IGNORE,Price above MA20 | Bullish MA alignment | Above-average volume | Near 52-week high | RSI not overbought
ETSY,2026-07-02,73.45999908447266,72.59450035095215,65.41833356221517,3.492785862513951,60.28103342426671,3.1190008001262584,3.236988205526946,-0.11798740540068753,0.8,66.47442735944476,6.985571725027902,114,8412,8.412768715411536,0.07950030551211107,0.3117856979370117,0.9675890468919892,0.92729106226364,45.729648080989534,50,80.0,10,49.01075365669267,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | Healthy RSI
MU,2026-07-02,1041.5,1055.5839904785157,783.6541641235351,110.8050057547433,57.95944157953007,73.01611083454918,89.37047188115793,-16.354361046608744,1.0,819.8899884905134,221.6100115094866,4,4699,4.6996974229903685,0.034157506948650385,1.5088526190584708,1.0363907843772246,0.8446877534468775,39.91415101453991,33,98.46153846153847,0,47.63221340248563,IGNORE,Price below MA20 | Bullish MA alignment | Above-average volume | Below 52-week high | RSI not overbought
SOLV,2026-07-02,79.08000183105469,78.28150100708008,73.52800025939942,2.868499755859375,44.991215245917246,0.7064456580009306,0.7779160149682784,-0.07147035696734783,1.0,73.34300231933594,5.73699951171875,174,13784,13.784209266450343,-0.0017672227656044814,0.22852257972373224,0.8534895046389371,0.9058419137072686,43.68299294952991,50,70.76923076923077,10,45.73194121851709,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI not overbought
MMM,2026-07-02,161.36000061035156,160.0995002746582,152.48049977620443,4.4921417236328125,57.49220785613233,3.1269878762233816,3.373918594859301,-0.24693071863591953,1.0,152.37571716308594,8.984283447265625,111,17960,17.9602526520311,0.05292006923557291,0.08309843762818714,0.4602618402959542,0.9246991438988629,43.549339493833926,50,47.69230769230769,10,41.022999184145284,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Near 52-week high | RSI not overbought
NET,2026-07-02,242.0,235.35150070190429,219.12331720987956,13.142787388392867,64.63060139167726,3.6390128949006453,2.7020775843980744,0.9369353105025708,0.8,215.71442522321428,26.285574776785733,30,7365,7.365256481702619,-0.0692307692307692,0.0755555555555556,0.8012766101925101,0.8962962962962963,44.85512820512821,70,41.53846153846154,0,39.70628205128205,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Below 52-week high | Healthy RSI
EDIT,2026-07-02,3.3299999237060547,2.7542500138282775,2.939500006039937,0.2921428339821953,83.4645762417858,0.07566627920041435,-0.009758104475093869,0.08542438367550823,0.5,2.745714255741664,0.5842856679643906,855,2849,2.849633412460326,0.19784171150236718,0.15624992756380274,1.5252778695637965,0.7890995472193669,38.13410440801995,45,64.61538461538461,0,39.61695000869089,IGNORE,Price above MA20 | Bearish MA alignment | Strong volume breakout | Below 52-week high | RSI overbought
NBIS,2026-07-02,233.0,250.2476013183594,204.79346656799316,32.51371329171317,56.28843324526151,8.964585093899842,14.52905402333464,-5.564468929434797,1.0,167.97257341657365,65.02742658342633,15,3583,3.5831035032744962,-0.028113812207934852,0.836380872034763,1.3477401918861853,0.7813547634539838,29.780864826621862,28,93.84615384615384,0,39.61583614786608,IGNORE,Price below MA20 | Bullish MA alignment | Above-average volume | Below 52-week high | RSI not overbought
DHR,2026-07-02,197.47000122070312,185.35450134277343,181.5818333943685,6.256427219935824,70.29809215561971,4.1198634147039,2.5614126121660883,1.5584508025378119,0.8,184.95714678083147,12.512854439871647,63,12625,12.625096994110239,0.08339275027130055,0.008014330643870915,0.9181327463326678,0.814880533687997,47.01948060957679,70,27.692307692307693,0,38.452097965165294,IGNORE,Price above MA20 | Bullish MA alignment | Weak volume | Below 52-week high | Healthy RSI
TSLA,2026-07-02,428.010009765625,399.66699676513673,399.7743336995443,22.703567504882812,65.99823092934213,-1.1087076168909675,-4.286659590092193,3.1779519732012256,0.8,382.6028747558594,45.407135009765625,17,7540,7.540841494158551,0.01945982636003807,0.17653041510834422,1.4905821165612136,0.8737037754133529,34.66452507461325,58,66.15384615384615,0,37.495936782998506,IGNORE,Price above MA20 | Bearish MA alignment | Above-average volume | Below 52-week high | Healthy RSI
LMND,2026-07-02,69.2750015258789,57.745250129699706,58.53175010681152,4.565929140363421,72.58775754756897,1.9422470607429503,0.7164705760068331,1.2257764847361172,0.8,60.14314324515206,9.131858280726842,87,6068,6.068863479590927,0.30855691958648235,0.10416002028343918,1.3215945872043853,0.7309803100108818,37.680946244889235,53,55.38461538461539,0,37.45358544834554,IGNORE,Price above MA20 | Bearish MA alignment | Above-average volume | Below 52-week high | Healthy RSI
