Ticker,Shares,Cost,Current Price,Market Value,Cost Basis,Profit,Profit Rate,Profit Rate %
GOOGL,350,260.15,382.9700012207031,134039.5004272461,91052.49999999999,42987.00042724611,0.4721122476290724,47.21
TSLA,2100,337.55,426.010009765625,894621.0205078125,708855.0,185766.0205078125,0.26206490820804323,26.21
NVDA,500,197.22,215.3300018310547,107665.00091552734,98610.0,9055.000915527344,0.09182639606051458,9.18
AMD,150,461.82,467.510009765625,70126.50146484375,69273.0,853.50146484375,0.012320838780531376,1.23
