Date,Open,High,Low,Close,Volume
2024-07-03,425.60076904296875,427.2847595214844,424.38031005859375,425.2033996582031,488440
2024-07-05,427.0293273925781,429.5648193359375,423.85052490234375,428.8268737792969,821395
2024-07-08,429.74456787109375,432.4124755859375,429.0633850097656,431.3055725097656,880587
2024-07-09,434.0302734375,436.4995422363281,432.204345703125,435.4777526855469,943161
2024-07-10,436.47113037109375,440.9271545410156,433.68023681640625,440.8703918457031,1303704
2024-07-11,441.70294189453125,447.7388916015625,441.70294189453125,447.7010498046875,1454538
2024-07-12,449.1106872558594,455.2223205566406,448.43896484375,452.5260314941406,1432764
2024-07-15,453.0747375488281,457.1617736816406,451.4664001464844,456.5279235839844,1145260
2024-07-16,458.37274169921875,462.4881591796875,456.7076721191406,462.431396484375,1284361
2024-07-17,462.0908203125,463.538330078125,459.80133056640625,463.4531555175781,1491638
2024-07-18,461.5799560546875,464.9763488769531,458.0416259765625,458.5525207519531,1321461
2024-07-19,459.2052917480469,459.3566589355469,453.1504211425781,453.96405029296875,1156781
2024-07-22,458.7795715332031,461.66510009765625,455.9886474609375,461.0406799316406,1157098
2024-07-23,461.55157470703125,471.2866516113281,460.8325500488281,468.8363342285156,1082368
2024-07-24,468.2119140625,469.80133056640625,454.3140869140625,455.6859130859375,1153398
2024-07-25,452.2611083984375,465.4682922363281,451.2488098144531,457.2658386230469,830485
2024-07-26,460.4541015625,466.1021728515625,458.5619812011719,463.4058532714844,870228
2024-07-29,464.9763488769531,466.7076721191406,462.16650390625,463.4153137207031,1186483
2024-07-30,468.8741760253906,475.82781982421875,454.7303771972656,462.16650390625,1479694
2024-07-31,465.0425720214844,466.13055419921875,455.2601623535156,458.5903625488281,1738448
2024-08-01,463.4909973144531,465.0898742675781,459.92431640625,464.07757568359375,1108899
2024-08-02,459.64996337890625,463.3207092285156,454.22894287109375,459.8297119140625,1283621
2024-08-05,451.58941650390625,452.11920166015625,442.46923828125,446.5373840332031,1651668
2024-08-06,449.3661193847656,460.8987731933594,447.80511474609375,453.62347412109375,1557490
2024-08-07,457.719970703125,463.98297119140625,451.674560546875,452.3367919921875,1380336
2024-08-08,452.9706726074219,461.83538818359375,451.55157470703125,460.9176940917969,985335
2024-08-09,461.68402099609375,463.765380859375,459.3377380371094,462.16650390625,646038
2024-08-12,462.0908203125,463.56671142578125,457.4077453613281,458.3443603515625,773618
2024-08-13,462.21380615234375,464.6736145019531,460.07568359375,463.2828674316406,676374
2024-08-14,462.6395568847656,466.8401184082031,461.53265380859375,466.083251953125,778163
2024-08-15,467.3793640136719,470.6433410644531,465.0709533691406,466.34814453125,822875
2024-08-16,467.3604431152344,467.5023498535156,462.6490173339844,464.39923095703125,1070530
2024-08-19,465.3642272949219,469.1579895019531,465.3642272949219,469.0066223144531,1028355
2024-08-20,470.9176940917969,472.38409423828125,469.2431335449219,471.0122985839844,2163362
2024-08-21,471.0122985839844,472.36517333984375,468.7417297363281,472.0718994140625,905955
2024-08-22,472.0718994140625,473.71807861328125,469.91485595703125,471.825927734375,1424519
2024-08-23,473.4909973144531,475.61968994140625,470.9555358886719,473.5950927734375,718549
2024-08-26,475.3358459472656,478.5714416503906,474.2005615234375,474.9479675292969,899084
2024-08-27,473.3490905761719,479.4607238769531,472.6868591308594,478.13623046875,1187434
2024-08-28,478.10784912109375,482.7720031738281,473.5572509765625,478.022705078125,1446187
2024-08-29,479.1106872558594,484.2762451171875,477.7767333984375,480.6528015136719,1158789
2024-08-30,482.16650390625,486.28192138671875,479.8486328125,485.56292724609375,1316388
2024-09-03,487.2090759277344,489.55535888671875,479.64996337890625,483.2544860839844,1119680
2024-09-04,483.4153137207031,486.234619140625,481.71240234375,485.629150390625,825728
2024-09-05,487.0387878417969,490.6244201660156,486.01702880859375,489.1201477050781,1238487
2024-09-06,489.2052917480469,493.3774719238281,482.6111755371094,483.1031188964844,1096849
2024-09-09,487.0293273925781,491.83538818359375,485.856201171875,488.01324462890625,991255
2024-09-10,489.78240966796875,492.8855285644531,485.96026611328125,491.91107177734375,1027615
2024-09-11,489.0728454589844,489.7918701171875,477.2942199707031,487.99432373046875,1243138
2024-09-12,486.4049072265625,492.9139099121094,484.9479675292969,491.96783447265625,940413
2024-09-13,493.85052490234375,495.8751220703125,490.1324462890625,491.4380187988281,1214282
2024-09-16,493.71807861328125,499.5458984375,492.5449523925781,498.9403991699219,1073701
2024-09-17,496.7833557128906,497.4739685058594,489.66888427734375,494.21002197265625,1188068
2024-09-18,492.5638732910156,496.9441833496094,488.1929931640625,491.5042419433594,1005313
2024-09-19,496.6887512207031,498.39166259765625,493.92620849609375,495.9508056640625,989669
2024-09-20,495.1655578613281,496.9063415527344,491.9583740234375,495.4304504394531,1918138
2024-09-23,491.977294921875,499.3755798339844,490.17974853515625,492.9801330566406,1015566
