Price,Close,High,Low,Open,Volume
Ticker,CCL,CCL,CCL,CCL,CCL
2024-01-02,17.105674743652344,18.14448009236178,17.026525800421858,18.114799238650345,36400200
2024-01-03,16.175695419311523,16.719831194967412,16.086654745183882,16.581324318330932,43978500
2024-01-04,16.670364379882812,16.91769915736768,16.12622673720735,16.175694824913084,33978600
2024-01-05,17.145248413085938,17.37279597822722,16.670366045743755,16.71983225137802,34785400
2024-01-08,17.1650333404541,17.392580874977053,16.858338755357313,17.224393156630843,26151600
2024-01-09,17.194713592529297,17.37279494140831,16.86823174858933,16.86823174858933,21013000
2024-01-10,17.590450286865234,17.63991648821107,17.006740053314154,17.075993490004176,24717400
2024-01-11,17.343114852905273,17.590449624348228,16.977058560883297,17.550875155150372,23338900
2024-01-12,16.779190063476562,17.34311492996436,16.56153614296492,17.34311492996436,24801400
2024-01-16,16.848445892333984,16.917699328809217,16.353776332351345,16.472495970018993,24477200
2024-01-17,16.68025779724121,16.798977432280996,16.393348553035008,16.393348553035008,15919000
2024-01-18,17.095779418945312,17.46183380976694,16.6604697097113,16.937485322317396,31558400
2024-01-19,17.145248413085938,17.16503565014556,16.640685190154322,17.036420496272807,21539400
2024-01-22,16.462602615356445,17.362901077945335,16.21526783141412,17.31343487596273,54155000
2024-01-23,16.07676124572754,16.60111167645194,16.03718677381716,16.333989652100943,40097200
2024-01-24,15.908573150634766,16.571430443870156,15.888785915131706,16.324095661125828,35602600
2024-01-25,16.294414520263672,16.324095372994375,16.037186124308068,16.106441447346374,40046700
2024-01-26,15.661237716674805,16.333988599687828,15.641451425501806,16.324094982347688,39896600
2024-01-29,16.37356185913086,16.37356185913086,15.522730546347237,15.532624164096507,37138300
2024-01-30,16.294414520263672,17.016633507260583,16.21526746666307,16.630789969819876,42567900
2024-01-31,16.403242111206055,16.996845945304504,16.175694572356264,16.22516077227506,37512800
2024-02-01,16.620895385742188,17.056205098739646,16.04707880875147,16.907804617744794,41876600
