Price,Close,High,Low,Open,Volume
Ticker,MU,MU,MU,MU,MU
2024-01-02,81.68760681152344,83.41382603543747,81.10228508437551,83.33445806834915,13597100
2024-01-03,81.60823822021484,81.93561780593103,79.94154892341948,80.556631684237,12915600
2024-01-04,82.05467987060547,83.59240210030292,81.9554736939354,82.80866043740099,19134200
2024-01-05,82.78881072998047,82.86817869512666,80.36814834458744,80.83442567863916,15483700
2024-01-08,84.27692413330078,84.83249230796591,83.16580292186168,83.22532510991861,16219800
2024-01-09,82.66976165771484,83.52294831223328,82.24316833045562,82.47134175611444,12138700
2024-01-10,81.72730255126953,82.36223124141652,81.01301345156443,82.30270904201119,10748600
2024-01-11,82.72928619384766,82.78880838154599,81.17172587452849,82.14396449762596,10579300
2024-01-12,81.73721313476562,82.391987505432,81.06260055693325,82.09436141532076,10187500
2024-01-16,83.93962860107422,84.54479612630733,81.67769444004706,81.88602968446313,13713500
2024-01-17,82.62016296386719,83.30469844645683,81.97531146552365,83.02691812568018,10245400
2024-01-18,84.14796447753906,85.14004140256026,83.37414568705394,84.5447967613368,15077700
2024-01-19,86.81664276123047,87.09442305379584,84.94161821746899,85.37812686195228,18156800
2024-01-22,88.53294372558594,89.23731744247904,87.31269333186492,87.5706278858057,14371200
2024-01-23,86.83648681640625,88.4734151580861,86.19163534011469,88.29484101955838,16850900
2024-01-24,87.38214111328125,87.8682567080475,85.92378676003591,87.70952832910093,19752800
2024-01-25,88.49325561523438,89.32660413920247,87.79880481938262,88.44365631207125,15892400
2024-01-26,87.35237121582031,87.79880277864186,85.6063138096182,86.54878380621739,14934500
2024-01-29,88.36428833007812,88.86032677530568,87.32260456752186,87.79880480527656,12108100
2024-01-30,85.47734832763672,88.08650781900288,85.08051605853396,87.38213413659481,12980400
2024-01-31,85.07059478759766,86.23132295240906,84.11820186501295,84.28685312268037,11396700
2024-02-01,84.93170166015625,85.50710806275268,83.94954767568707,85.3880561132323,10459000
2024-02-02,85.79481506347656,85.92378233779225,84.26701570389594,84.39598297821162,10450000
2024-02-05,86.29084777832031,86.52894410311204,84.93169976844882,86.05274388458288,8409300
2024-02-06,83.9297103881836,86.49919368368253,83.0566853769082,86.14204536794564,12990300
2024-02-07,84.49517822265625,84.60430727485864,81.81657392246812,83.47334034198407,16374800
2024-02-08,84.20747375488281,85.34836355745198,83.86024839817354,84.83248696590464,12524500
2024-02-09,84.88208770751953,84.9416174617863,83.29476635773528,84.38604931265287,12161500
2024-02-12,85.02099609375,86.22141592754818,84.71345464501239,84.8523448198582,10366000
2024-02-13,80.8840103149414,82.8880094423331,80.13002992064938,81.81656481396196,21207900
2024-02-14,81.18164825439453,82.5209504518494,80.84433819867402,81.52887362870572,12870900
2024-02-15,80.98322296142578,82.0546676756958,80.86417859469243,81.58839038880356,11527600
2024-02-16,78.87010192871094,80.69551952264665,78.62208274025588,80.31853308101513,15553100
2024-02-20,80.07052612304688,80.1300483153055,78.52288857275354,78.70146271847555,12627200
2024-02-21,80.8443374633789,80.85426035082483,79.3066229428593,80.14988672107269,9913300
2024-02-22,85.22932434082031,85.6261490187926,83.21540201227765,84.32653078985854,17510900
2024-02-23,85.31861114501953,86.13211387876072,84.37614114250755,85.8642564531765,10232800
2024-02-26,88.7511978149414,91.61829942617166,88.19563717770387,88.96945594212643,28920100
2024-02-27,91.12225341796875,92.01512406010384,89.77302835184135,91.16193739861313,21422700
2024-02-28,88.99921417236328,90.07065899734954,88.59246659575201,89.74327181711278,14190700
2024-02-29,89.89208221435547,90.11034032809005,88.11626377954163,89.93176619584771,17027000
2024-03-01,94.39611053466797,95.29889650117052,91.19169908938254,91.19169908938254,23446200
2024-03-04,95.01119995117188,96.60844434162259,93.8703175885179,96.1620127709272,20913200
2024-03-05,93.72150421142578,94.61437491861345,92.54093030031397,93.50324608645258,12887500
2024-03-06,94.80286407470703,95.66597368370702,93.81078719633983,94.29691031638082,14232400
2024-03-07,98.19577026367188,98.9001439211962,96.69773209598016,98.14616339343176,24843300
2024-03-08,96.84654998779297,101.04303104853138,96.54892388933877,99.08863833874918,22379000
2024-03-11,93.76118469238281,95.69573151156682,92.78894605444312,95.14017090071309,15673300
2024-03-12,96.64813995361328,96.72750793051377,92.89809008795409,94.57470264747933,14993700
2024-03-13,93.41395568847656,94.58459905339937,92.36234912720644,94.56476084761482,16732600
2024-03-14,90.7055892944336,92.70958125845576,89.58454514666751,92.5607757818532,16718900
2024-03-15,92.51116943359375,93.9496778878246,91.2909115359297,91.74727356324506,29579500
2024-03-18,93.03697204589844,96.31082889889672,92.94768875648116,96.05288678122537,23140300
2024-03-19,93.25521850585938,93.41395442577158,90.2789881280128,91.84647127689219,21054700
2024-03-20,95.48739624023438,95.91398958593558,92.84846820195581,94.23737729742108,39807400
2024-03-21,108.97965240478516,112.6007348180082,107.91813036168162,112.47176753819159,89554100
2024-03-22,109.33677673339844,110.45782072607297,106.20181816722923,108.4439061525783,37281400
2024-03-25,116.20195007324219,120.44804503335628,109.28718130093758,109.36654169063648,55766100
2024-03-26,117.85873413085938,121.48973150677533,117.23372086421668,118.05714647550882,44295100
2024-03-27,118.30516815185547,119.15835487569899,116.15236313494734,118.35477502352266,29320700
2024-03-28,117.0688247680664,118.79670250209863,116.53258528310788,118.60803111801687,21047800
2024-04-01,123.4341812133789,126.4927214634992,118.171095766392,118.36969961953244,44309400
2024-04-02,121.89498901367188,122.8185114330781,120.07773399867057,121.85526672317296,25026400
2024-04-03,127.11833190917969,127.38645544793785,120.48486919103618,121.34880429619784,40130100
2024-04-04,123.22564697265625,129.63071644138756,122.7887169462654,129.2732234167256,36009900
2024-04-05,122.71920776367188,124.81451120635349,120.35578075796823,123.5334957667814,23326500
2024-04-08,122.09359741210938,128.79658076296437,121.7559692947416,128.16103924394648,27955800
2024-04-09,121.77581787109375,125.26137108353858,120.42529034650693,124.02007795992951,19212900
2024-04-10,121.34880828857422,123.61293322715503,119.09462339222071,119.16413550154654,22242300
2024-04-11,126.62181854248047,126.67146571675997,121.22964144414584,122.0439293495918,21745300
2024-04-12,121.66658020019531,125.112411030924,120.98139156622963,124.37756764284768,24808200
2024-04-15,120.52459716796875,123.91084079396144,119.7698888443047,122.76884963047348,17732600
2024-04-16,120.92180633544922,121.69637960055871,117.53556266919325,118.69741120247964,17452400
2024-04-17,115.51970672607422,123.5533523003723,115.39060739057116,121.17006795370558,25546500
2024-04-18,111.15035247802734,116.8007212374197,110.70348998115622,115.19200261143003,32146900
2024-04-19,106.02629089355469,110.10766332014191,104.98360920779461,108.89616758662811,33787500
