Date,Open,High,Low,Close,Volume
2024-07-03,315.29998779296875,316.0799865722656,311.010009765625,314.79998779296875,661800
2024-07-05,315.0,317.0899963378906,313.5299987792969,316.8500061035156,939700
2024-07-08,321.94000244140625,322.0,309.010009765625,313.7099914550781,1733300
2024-07-09,315.260009765625,315.42999267578125,310.6400146484375,311.54998779296875,1448600
2024-07-10,308.0,312.30999755859375,304.8500061035156,304.989990234375,2220300
2024-07-11,312.7300109863281,314.0199890136719,297.1099853515625,300.9800109863281,2288400
2024-07-12,302.1300048828125,307.44000244140625,300.3900146484375,302.2699890136719,1244500
2024-07-15,302.2699890136719,308.1199951171875,299.3999938964844,302.1499938964844,1145500
2024-07-16,303.7799987792969,304.8699951171875,294.8500061035156,298.5,1424700
2024-07-17,294.7900085449219,299.3800048828125,290.8699951171875,294.739990234375,1982100
2024-07-18,296.6600036621094,298.32000732421875,288.07000732421875,290.1600036621094,1817300
2024-07-19,292.2300109863281,298.3800048828125,290.5,295.0899963378906,1782400
2024-07-22,298.0,300.7200012207031,290.1300048828125,295.45001220703125,3122100
2024-07-23,339.5,343.3999938964844,326.5,330.7900085449219,6669200
2024-07-24,333.6199951171875,346.2300109863281,328.760009765625,336.5199890136719,5691200
2024-07-25,336.82000732421875,341.0,324.0799865722656,328.95001220703125,2716300
2024-07-26,330.4200134277344,331.3699951171875,320.20001220703125,321.8800048828125,1986600
2024-07-29,323.739990234375,328.07000732421875,319.7300109863281,323.739990234375,1736800
2024-07-30,323.3500061035156,334.6499938964844,321.8299865722656,330.3500061035156,2508300
2024-07-31,334.04998779296875,344.3399963378906,330.1400146484375,343.94000244140625,2118000
2024-08-01,345.0899963378906,359.375,335.010009765625,336.5,2642500
2024-08-02,326.4100036621094,332.3999938964844,318.75,330.8500061035156,2977800
2024-08-05,302.010009765625,325.5899963378906,300.57000732421875,324.0299987792969,3183800
2024-08-06,323.989990234375,330.7200012207031,320.3800048828125,327.29998779296875,1540300
2024-08-07,329.0,335.3630065917969,323.1600036621094,323.3399963378906,1320700
2024-08-08,328.20001220703125,339.489990234375,324.3599853515625,338.32000732421875,1445100
2024-08-09,337.2699890136719,343.2749938964844,333.6700134277344,339.8999938964844,1212900
2024-08-12,340.0,343.42999267578125,336.510009765625,340.3599853515625,918900
2024-08-13,339.0,340.30999755859375,333.79998779296875,334.739990234375,2081300
2024-08-14,335.989990234375,338.510009765625,332.3699951171875,334.3500061035156,1831000
2024-08-15,337.0,341.6369934082031,333.9100036621094,335.5899963378906,2115600
