Price,Close,High,Low,Open,Volume
Ticker,USB,USB,USB,USB,USB
2024-01-02,39.78425216674805,39.883917209697955,38.860090117946314,39.06847909126365,9050500
2024-01-03,38.73324966430664,39.331236538416995,38.60640448741533,39.30405641658938,7133200
2024-01-04,39.1500244140625,39.50337979359762,38.787610146760244,38.905392969090904,7192600
2024-01-05,39.69365310668945,40.16479478983888,38.905395034509894,38.9144573790297,7616800
2024-01-08,39.829551696777344,39.91109550489547,39.131899884271434,39.512438807579784,6459200
2024-01-09,39.376529693603516,39.74800625840086,39.13189827928265,39.29498588882989,5132900
2024-01-10,39.322174072265625,39.3584130793147,38.86915364957257,39.240630257930015,7885900
2024-01-11,38.796669006347656,39.23156820055742,38.09901713555131,39.23156820055742,10017300
2024-01-12,38.18962478637695,39.059423208774795,37.781905695793064,38.84197187503949,9494000
2024-01-16,37.491973876953125,37.85438816770621,37.111434896949824,37.75472311446078,14399000
2024-01-17,36.98459243774414,37.81815193459174,36.38660553063975,37.46479304997693,14567000
2024-01-18,36.377540588378906,37.147673908858856,35.38089360486615,37.04800886488044,15244000
2024-01-19,38.062774658203125,38.09901712177539,36.223512835305144,36.50438674358286,14397700
2024-01-22,37.854393005371094,38.37083611430459,37.46479508722516,38.14432585753473,10374300
2024-01-23,38.02653884887695,38.18056414760504,37.428551974731015,38.02653884887695,7420200
2024-01-24,38.48861312866211,38.94163353289251,38.2711652701435,38.39801043032459,11196400
2024-01-25,38.78761291503906,39.014123144370885,38.243986290879604,38.94163821197424,8173600
2024-01-26,38.633583068847656,38.96881723101852,38.32552902742068,38.61546183626116,7242500
2024-01-29,38.914459228515625,38.93258046214474,38.35271481110058,38.61546405804303,7475700
2024-01-30,39.26781463623047,39.32217833710762,38.66982775166947,38.84197428670591,8055300
2024-01-31,37.636940002441406,38.95070000522097,37.510094828814864,38.4704959755711,13026100
2024-02-01,37.04800796508789,37.77283991786573,36.214452083461225,37.673178332579276,16002800
2024-02-02,37.002708435058594,37.24733987919752,36.305056566130155,36.694654407950864,11269300
2024-02-05,36.33224105834961,36.68559993548177,36.16915340929537,36.640295122532955,8880300
2024-02-06,36.33224105834961,36.703717713134935,36.16915340929537,36.28693970167276,8728400
2024-02-07,36.16008758544922,36.53156416899032,35.217804339691334,36.45908270346273,12255300
2024-02-08,36.57686996459961,36.62217131809676,35.68895030222295,35.96982422394003,7601600
2024-02-09,36.404720306396484,36.594988048476154,36.03324370964842,36.51344423668895,10684700
2024-02-12,37.21110153198242,37.54633571565407,36.36848317216218,36.45002699589549,10304800
2024-02-13,36.17821502685547,36.67653685282359,35.70707332309247,36.45002661772245,9106200
2024-02-14,36.69465637207031,36.875865242939824,36.3231797421101,36.65841390664207,5904900
2024-02-15,37.645999908447266,37.80002866363761,36.93928908983892,37.02083291169926,7064200
2024-02-16,37.591636657714844,37.89062834310475,36.984587486586186,37.28358262824767,7287500
2024-02-20,37.27452087402344,37.645997492823646,37.06613188847909,37.24734075390467,7328500
2024-02-21,36.98459243774414,37.20204379317848,36.540634294129084,37.11143762163416,8312200
2024-02-22,37.464786529541016,38.089956907438996,37.22015854962691,37.464786529541016,10999900
2024-02-23,37.47385025024414,37.76378304683519,37.22921880506952,37.4829091380188,6424400
2024-02-26,37.002708435058594,37.53727267456109,36.83056191789634,37.24733987919752,6154100
2024-02-27,37.48291778564453,37.92687942700303,37.22016850430212,37.37419382590725,6489100
2024-02-28,37.347007751464844,37.645999457187514,37.011770123239785,37.23828035277313,6768200
2024-02-29,38.01747512817383,38.21680523109902,37.59163825774963,37.81814848152036,9000700
2024-03-01,37.5282096862793,37.96311232812991,37.084251613119385,37.70035965675768,8899400
2024-03-04,38.68794250488281,39.41277444713915,38.17149953000821,38.43424873288959,10499700
2024-03-05,39.18626403808594,39.65740566208253,38.51579233494081,38.51579233494081,9523700
2024-03-06,39.041297912597656,39.21344441902751,38.16243723729131,39.01411779481171,10526700
2024-03-07,39.26781463623047,39.64835017355478,39.014124278014265,39.36747969303595,7524400
2024-03-08,39.1953239440918,39.70270804226343,39.11378013289048,39.65740669298968,6678200
2024-03-11,39.43089294433594,39.66646201313758,38.98693146632721,39.1137766153951,8241900
2024-03-12,39.1500244140625,39.53962225720931,39.04130047949898,39.313112044043564,5941500
2024-03-13,39.38559341430664,39.929216494300555,39.16814210854633,39.16814210854633,5756800
2024-03-14,38.37083435058594,39.45808422436016,38.135265215133025,39.04130620056619,7461100
2024-03-15,38.12620162963867,38.76042747630006,37.990294116056006,37.990294116056006,32597000
