Date,Open,High,Low,Close,Volume
2024-06-27,2800.0,2897.610107421875,2800.0,2867.699951171875,800
2024-06-28,2867.0,2890.4599609375,2840.0,2868.159912109375,3100
2024-07-01,2999.0,2999.0,2875.0,2904.5,1700
2024-07-02,2900.0,2922.7900390625,2853.0,2903.889892578125,2400
2024-07-03,3000.0,3000.0,2895.0,2952.449951171875,5900
2024-07-05,2950.0,2986.030029296875,2922.0,2934.31005859375,1200
2024-07-08,2901.0,2979.530029296875,2901.0,2940.0,4200
2024-07-09,2920.0,3087.64990234375,2920.0,2973.659912109375,1900
2024-07-10,3160.580078125,3160.580078125,2967.510009765625,3007.419921875,1300
2024-07-11,2995.0,3225.070068359375,2986.360107421875,3015.0,3100
2024-07-12,2920.0,3070.0,2920.0,3047.080078125,1300
2024-07-15,3045.93994140625,3107.5,3042.7099609375,3060.8798828125,800
2024-07-16,3064.610107421875,3088.530029296875,3020.0,3046.25,700
2024-07-17,2920.0,3091.10009765625,2920.0,3055.14990234375,6400
2024-07-18,3060.0,3099.469970703125,3008.840087890625,3085.409912109375,12700
2024-07-19,3085.409912109375,3094.0,3020.969970703125,3070.0,2500
2024-07-22,3040.010009765625,3182.050048828125,3040.010009765625,3104.330078125,1700
2024-07-23,3200.0,3200.0,3070.0,3110.610107421875,600
2024-07-24,3130.0,3178.909912109375,3110.0,3110.239990234375,1800
2024-07-25,3111.030029296875,3180.360107421875,3103.89990234375,3162.3798828125,4400
2024-07-26,3145.0,3423.949951171875,3145.0,3240.260009765625,11500
2024-07-29,3190.0,3250.0,3146.580078125,3147.0,2600
2024-07-30,3250.0,3250.0,2905.0,3094.3798828125,3100
2024-07-31,3010.0,3178.47998046875,3010.0,3132.010009765625,4100
2024-08-01,3148.0,3148.0,2961.300048828125,3074.739990234375,13800
2024-08-02,2928.0,3000.0,2880.68994140625,2925.739990234375,3400
2024-08-05,2750.0,2900.0,2750.0,2879.800048828125,700
2024-08-06,2900.0,2930.949951171875,2834.7900390625,2925.0,2100
2024-08-07,2960.669921875,3050.0,2887.52001953125,2905.0,600
2024-08-08,3029.550048828125,3029.550048828125,2887.0,2944.0,3000
2024-08-09,2960.0,3025.56005859375,2916.489990234375,2970.0,700
2024-08-12,2889.0,3013.0,2888.0,2894.219970703125,2100
2024-08-13,2820.0,3192.919921875,2820.0,2996.3701171875,8100
2024-08-14,2910.0,3100.0,2910.0,3028.8798828125,2500
2024-08-15,2951.0,3133.860107421875,2951.0,3096.090087890625,5400
2024-08-16,3231.989990234375,3231.989990234375,3077.89990234375,3086.070068359375,1300
2024-08-19,3241.0,3250.0,3049.0,3081.409912109375,1700
2024-08-20,3300.0,3300.0,3046.669921875,3150.0,900
2024-08-21,3149.989990234375,3201.090087890625,3101.27001953125,3170.0,3400
2024-08-22,3146.5,3199.360107421875,3113.530029296875,3117.169921875,1100
