Ticker
AAPL
NVDA
TSLA
AMD
GOOGL
META
AMZN
MSFT
AVGO
PLTR
TSM
RKLB
NET
LMND
UHS
GRMN
FIG
ASTS
TEM
QS
XYZ
EDIT
SNOW
RBLX
SHOP
CCL
CAKE
ETSY
UBER
COST
RH
NFLX
TGT
LEVI
AA
ETN
NBIS
CRWV
OKLO
ISRG
IONQ
NOW
QCOM
SNDK
MU
INTC
PACS
CNSWF
QUBT
OKTA
PGY
RDDT
OVID
REGN
SOLV
SPGI
V
USB
JPM
SPOT
FDX
DHR
MMM
LEN
DE
CAT
